msgid,msgstr
Guides for how other companies/products can be used with LangChain,其他公司/产品如何与LangChain配合使用的指南
Groups,组
LangChain provides integration with many LLMs and systems:,LangChain提供与许多LLM和系统的集成：
`LLM Providers <./modules/models/llms/integrations.html>`_,`LLM提供程序<./modules/models/llms/integrations.html>`_
`Chat Model Providers <./modules/models/chat/integrations.html>`_,`聊天模型提供程序<./modules/models/chat/integrations.html>`_
`Text Embedding Model Providers <./modules/models/text_embedding.html>`_,`文本嵌入模型提供程序<./modules/models/text_embedding.html>`_
`Document Loader Integrations <./modules/indexes/document_loaders.html>`_,`文档加载器集成<./modules/indexes/document_loaders.html>`_
`Text Splitter Integrations <./modules/indexes/text_splitters.html>`_,`文本拆分器集成<./modules/indexes/text_splitters.html>`_
`Vectorstore Providers <./modules/indexes/vectorstores.html>`_,`Vectorstore提供程序<./modules/indexes/vectorstores.html>`_
`Retriever Providers <./modules/indexes/retrievers.html>`_,`检索器提供程序<./modules/indexes/retrievers.html>`_
`Tool Providers <./modules/agents/tools.html>`_,`工具提供程序<./modules/agents/tools.html>`_
`Toolkit Integrations <./modules/agents/toolkits.html>`_,`Toolkit集成<./modules/agents/toolkits.html>`_
Companies / Products,公司╱产品
AI21 Labs,AI 21实验室
"This page covers how to use the AI21 ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific AI21 wrappers.",本页介绍了如何在LangChain中使用AI 21生态系统。它分为两部分：安装和设置，然后引用特定的AI 21包装器。
Installation and Setup,安装和设置
Get an AI21 api key and set it as an environment variable (`AI21_API_KEY`),获取AI 21 api密钥并将其设置为环境变量（`AI 21_API_KEY`）
Wrappers,包装纸
LLM,法学硕士
"There exists an AI21 LLM wrapper, which you can access with",有一个AI 21 LLM包装器，您可以使用
Aim,瞄准
"Aim makes it super easy to visualize and debug LangChain executions. Aim tracks inputs and outputs of LLMs and tools, as well as actions of agents.",Aim使得可视化和调试LangChain执行变得非常容易。Aim跟踪LLM和工具的输入和输出，以及代理的操作。
"With Aim, you can easily debug and examine an individual execution:",使用Aim，您可以轻松地调试和检查单个执行：
![](https://user-images.githubusercontent.com/13848158/227784778-06b806c7-74a1-4d15-ab85-9ece09b458aa.png),！[](https://user-images.githubusercontent.com/13848158/227784778-06 b 806 c 7-74 a 1-4 d 15-ab 85-9 ece 09 b 458 aa.png）
"Additionally, you have the option to compare multiple executions side by side:",此外，您还可以选择并排比较多个执行：
![](https://user-images.githubusercontent.com/13848158/227784994-699b24b7-e69b-48f9-9ffa-e6a6142fd719.png),！[](https://user-images.githubusercontent.com/13848158/227784994-699 b 24 b 7-e 69 b-48 f 9-9 ffa-e 6 a 6142 fd 719.png）
"Aim is fully open source, [learn more](https://github.com/aimhubio/aim) about Aim on GitHub.",Aim是完全开源的，【了解更多】（https：//github.com/aimhubio/Aim）关于GitHub上的Aim。
Let's move forward and see how to enable and configure Aim callback.,让我们继续，看看如何启用和配置Aim回调。
"In this notebook we will explore three usage scenarios. To start off, we will install the necessary packages and import certain modules. Subsequently, we will configure two environment variables that can be established either within the Python script or through the terminal.",在本笔记本中，我们将探讨三种使用场景。首先，我们将安装必要的软件包并导入某些模块。随后，我们将配置两个可以在Python脚本中或通过终端建立的环境变量。
"Our examples use a GPT model as the LLM, and OpenAI offers an API for this purpose. You can obtain the key from the following link: https://platform.openai.com/account/api-keys .",我们的例子使用GPT模型作为LLM，OpenAI为此提供了一个API。您可以从以下链接获取密钥：https://platform.openai.com/account/api-keys。
"We will use the SerpApi to retrieve search results from Google. To acquire the SerpApi key, please go to https://serpapi.com/manage-api-key .",我们将使用SerpApi从Google检索搜索结果。要获取SerpApi密钥，请访问https://serpapi.com/manage-api-key。
"The event methods of `AimCallbackHandler` accept the LangChain module or agent as input and log at least the prompts and generated results, as well as the serialized version of the LangChain module, to the designated Aim run.",“AimCallbackHandler”的事件方法接受LangChain模块或代理作为输入，并至少将提示和生成的结果以及LangChain模块的序列化版本记录到指定的Aim运行中。
"The `flush_tracker` function is used to record LangChain assets on Aim. By default, the session is reset rather than being terminated outright.",“flush_tracker”函数用于记录Aim上的LangChain资产。默认情况下，会话会被重置，而不是直接终止。
AnalyticDB,分析数据库
This page covers how to use the AnalyticDB ecosystem within LangChain.,本页介绍了如何在LangChain中使用AnalyticDB生态系统。
VectorStore,向量存储
"There exists a wrapper around AnalyticDB, allowing you to use it as a vectorstore, whether for semantic search or example selection.",AnalyticDB周围有一个包装器，允许您将其用作vectorstore，无论是用于语义搜索还是示例选择。
To import this vectorstore:,要导入此向量存储：
"For a more detailed walkthrough of the AnalyticDB wrapper, see [this notebook](../modules/indexes/vectorstores/examples/analyticdb.ipynb)",有关AnalyticDB包装器的更详细演练，请参见[本笔记本]（../modules/indexes/vectorstores/examples/analyticdb.ipynb）
Apify,增高
This page covers how to use [Apify](https://apify.com) within LangChain.,本页介绍如何在LangChain中使用[Apify]（https：//apify.com）。
Overview,概览
"Apify is a cloud platform for web scraping and data extraction, which provides an [ecosystem](https://apify.com/store) of more than a thousand ready-made apps called *Actors* for various scraping, crawling, and extraction use cases.",Apify是一个用于web抓取和数据提取的云平台，它提供了一个【生态系统】（https：//apify.com/store）的一千多个名为*Actors*的现成应用程序，用于各种抓取、抓取和提取用例。
[![Apify Actors](../_static/ApifyActors.png)](https://apify.com/store),[！[Apify Actors](../_static/ApifyActors.png)]（https：//apify.com/store）
Apify Actors,Apify演员
"This integration enables you run Actors on the Apify platform and load their results into LangChain to feed your vector indexes with documents and data from the web, e.g. to generate answers from websites with documentation, blogs, or knowledge bases.",这种集成使您能够在Apify平台上运行Actors，并将其结果加载到LangChain中，以向量索引提供来自web的文档和数据，例如，从带有文档、博客或知识库的网站生成答案。
Install the Apify API client for Python with `pip install apify-client`,使用“pip install apify-client”为Python安装Apify API客户端
Get your [Apify API token](https://console.apify.com/account/integrations) and either set it as an environment variable (`APIFY_API_TOKEN`) or pass it to the `ApifyWrapper` as `apify_api_token` in the constructor.,获取您的[Apify API token](https://console.apify.com/account/integrations)，并将其设置为环境变量(`apify_api_token`)，或者将其作为构造函数中的`apify_api_token`传递给‘ApifyWrapper’。
Utility,效用
You can use the `ApifyWrapper` to run Actors on the Apify platform.,您可以使用“ApifyWrapper”在Apify平台上运行参与者。
"For a more detailed walkthrough of this wrapper, see [this notebook](../modules/agents/tools/examples/apify.ipynb).",有关此包装器的更详细演练，请参见【本笔记本】（../模块/代理/工具/示例/apify.ipynb）。
Loader,装载机
You can also use our `ApifyDatasetLoader` to get data from Apify dataset.,您也可以使用我们的“ApifyDatasetLoader”从Apify数据集中获取数据。
"For a more detailed walkthrough of this loader, see [this notebook](../modules/indexes/document_loaders/examples/apify_dataset.ipynb).",有关此加载程序的更详细演练，请参见[本笔记本]（../modules/indexes/document_loaders/examples/apify_dataset.ipynb）。
AtlasDB,AtlasDB
"This page covers how to use Nomic's Atlas ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific Atlas wrappers.",本页介绍了如何在LangChain中使用Nomic的Atlas生态系统。它分为两部分：安装和设置，然后是对特定Atlas包装器的引用。
Install the Python package with `pip install nomic`,使用“pip install nomic”安装Python包
Nomic is also included in langchains poetry extras `poetry install -E all`,Nomic还包含在langchains诗歌附加节目“诗歌安装-E all”中
"There exists a wrapper around the Atlas neural database, allowing you to use it as a vectorstore. This vectorstore also gives you full access to the underlying AtlasProject object, which will allow you to use the full range of Atlas map interactions, such as bulk tagging and automatic topic modeling. Please see [the Atlas docs](https://docs.nomic.ai/atlas_api.html) for more detailed information.",Atlas神经数据库周围有一个包装器，允许您将其用作向量存储。这个vectorstore还允许您完全访问底层AtlasProject对象，这将允许您使用所有的Atlas地图交互，例如批量标记和自动主题建模。有关更多详细信息，请参见[地图集文档](https://docs.nomic.ai/atlas_api.html）。
"For a more detailed walkthrough of the AtlasDB wrapper, see [this notebook](../modules/indexes/vectorstores/examples/atlas.ipynb)",有关AtlasDB包装器的更详细演练，请参见[本笔记本]（../modules/indexes/vectorstores/examples/atlas.ipynb）
Banana,香蕉
"This page covers how to use the Banana ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific Banana wrappers.",本页介绍了如何在LangChain中使用香蕉生态系统。它分为两部分：安装和设置，然后是对特定香蕉包装器的引用。
Install with `pip install banana-dev`,使用“pip Install banana dev”安装
Get an Banana api key and set it as an environment variable (`BANANA_API_KEY`),获取Banana api密钥并将其设置为环境变量（`BANANA_API_KEY`）
Define your Banana Template,定义Banana模板
If you want to use an available language model template you can find one [here](https://app.banana.dev/templates/conceptofmind/serverless-template-palmyra-base). This template uses the Palmyra-Base model by [Writer](https://writer.com/product/api/). You can check out an example Banana repository [here](https://github.com/conceptofmind/serverless-template-palmyra-base).,如果你想使用一个可用的语言模型模板，你可以在这里找到一个（https：//app.banana.dev/templates/conceptofmind/server less-template-palmyra-base）。此模板使用[Writer]的Palmyra-Base模型（https://writer.com/product/api/）。您可以在这里查看一个示例香蕉存储库（https：//github.com/conceptofmind/serverless-template-palmyra-base）。
Build the Banana app,构建香蕉应用程序
"Banana Apps must include the ""output"" key in the return json.  There is a rigid response structure.",Banana应用程序必须在返回的json中包含“output”键。有一个刚性的响应结构。
An example inference function would be:,推理函数的一个示例是：
You can find a full example of a Banana app [here](https://github.com/conceptofmind/serverless-template-palmyra-base/blob/main/app.py).,您可以在这里找到Banana应用程序的完整示例（https：//github.com/conceptofmind/serverless-template-palmyra-base/blob/main/app.py）。
"There exists an Banana LLM wrapper, which you can access with",存在一个Banana LLM包装器，您可以使用
You need to provide a model key located in the dashboard:,您需要提供位于仪表板中的型号密钥：
CerebriumAI,脑病
"This page covers how to use the CerebriumAI ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific CerebriumAI wrappers.",本页介绍了如何在LangChain中使用CerebriumAI生态系统。它分为两部分：安装和设置，然后是对特定CerebriumAI包装器的引用。
Install with `pip install cerebrium`,使用“pip install cerebrium”安装
Get an CerebriumAI api key and set it as an environment variable (`CEREBRIUMAI_API_KEY`),获取CerebriumAI api密钥并将其设置为环境变量（`CEREBRIUMAI_API_KEY`）
"There exists an CerebriumAI LLM wrapper, which you can access with",存在一个CerebriumAI LLM包装器，您可以使用
Chroma,色度
"This page covers how to use the Chroma ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific Chroma wrappers.",本页介绍了如何在LangChain中使用色度生态系统。它分为两部分：安装和设置，然后引用特定的色度包装器。
Install the Python package with `pip install chromadb`,使用“pip install chromadb”安装Python包
"There exists a wrapper around Chroma vector databases, allowing you to use it as a vectorstore, whether for semantic search or example selection.",色度向量数据库周围有一个包装器，允许您将其用作向量存储，无论是用于语义搜索还是示例选择。
"For a more detailed walkthrough of the Chroma wrapper, see [this notebook](../modules/indexes/vectorstores/getting_started.ipynb)",有关色度包装器的更详细演练，请参见[本笔记本](../modules/indexes/vectorstores/getting_started.ipynb）
ClearML Integration,ClearML集成
"In order to properly keep track of your langchain experiments and their results, you can enable the ClearML integration. ClearML is an experiment manager that neatly tracks and organizes all your experiment runs.",为了正确跟踪您的langchain实验及其结果，您可以启用ClearML集成。ClearML是一个实验管理器，它可以整齐地跟踪和组织你所有的实验运行。
Getting API Credentials,正在获取API凭据
"We'll be using quite some APIs in this notebook, here is a list and where to get them:",我们将在本笔记本中使用相当多的API，下面是一个列表以及在哪里可以获得它们：
ClearML: https://app.clear.ml/settings/workspace-configuration,ClearML:https://app.clear.ml/settings/workspace-configuration
OpenAI: https://platform.openai.com/account/api-keys,OpenAI:https://platform.openai.com/account/api-keys
SerpAPI (google search): https://serpapi.com/dashboard,SerpAPI（谷歌搜索）：https://serpapi.com/dashboard
Setting Up,设置
Scenario 1: Just an LLM,场景1：只是一个LLM
"First, let's just run a single LLM a few times and capture the resulting prompt-answer conversation in ClearML",首先，让我们运行一个LLM几次，并在ClearML中捕获得到的提示-应答对话
At this point you can already go to https://app.clear.ml and take a look at the resulting ClearML Task that was created.,此时，您已经可以转到https：//app.clear.ml并查看创建的结果ClearML任务。
"Among others, you should see that this notebook is saved along with any git information. The model JSON that contains the used parameters is saved as an artifact, there are also console logs and under the plots section, you'll find tables that represent the flow of the chain.",其中，您应该看到这个笔记本与任何git信息一起保存。包含所用参数的模型JSON被保存为工件，还有控制台日志，在plots部分，您可以找到表示链流的表。
"Finally, if you enabled visualizations, these are stored as HTML files under debug samples.",最后，如果您启用了可视化，这些将作为HTML文件存储在调试示例下。
Scenario 2: Creating an agent with tools,场景2：使用工具创建代理
"To show a more advanced workflow, let's create an agent with access to tools. The way ClearML tracks the results is not different though, only the table will look slightly different as there are other types of actions taken when compared to the earlier, simpler example.",为了显示更高级的工作流，让我们创建一个可以访问工具的代理。但是ClearML跟踪结果的方式没有什么不同，只是表看起来略有不同，因为与前面更简单的示例相比，还采取了其他类型的操作。
"You can now also see the use of the `finish=True` keyword, which will fully close the ClearML Task, instead of just resetting the parameters and prompts for a new conversation.",现在，您还可以看到“finish=True”关键字的使用，这将完全关闭ClearML任务，而不仅仅是重置新对话的参数和提示。
Tips and Next Steps,提示和后续步骤
"Make sure you always use a unique `name` argument for the `clearml_callback.flush_tracker` function. If not, the model parameters used for a run will override the previous run!",确保对“clearml_callback.flush_tracker”函数始终使用唯一的“name”参数。否则，用于运行的模型参数将覆盖上一次运行！
"If you close the ClearML Callback using `clearml_callback.flush_tracker(..., finish=True)` the Callback cannot be used anymore. Make a new one if you want to keep logging.",如果使用`clearml_callback.flush_tracker(...，finish=True)`关闭ClearML回调，则回调将无法再使用。如果你想继续记录，就做一个新的。
"Check out the rest of the open source ClearML ecosystem, there is a data version manager, a remote execution agent, automated pipelines and much more!",看看开源ClearML生态系统的其余部分，有一个数据版本管理器，一个远程执行代理，自动化管道等等！
Cohere,凝聚
"This page covers how to use the Cohere ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific Cohere wrappers.",本页介绍了如何在LangChain中使用Cohere生态系统。它分为两部分：安装和设置，然后是对特定Cohere包装器的引用。
Install the Python SDK with `pip install cohere`,使用“pip install cohere”安装Python SDK
Get an Cohere api key and set it as an environment variable (`COHERE_API_KEY`),获取Cohere api密钥并将其设置为环境变量(`COHERE_API_KEY`)
"There exists an Cohere LLM wrapper, which you can access with",存在一个Cohere LLM包装器，您可以使用
Embeddings,嵌入
"There exists an Cohere Embeddings wrapper, which you can access with",存在一个Cohere Embeddings包装器，您可以使用
"For a more detailed walkthrough of this, see [this notebook](../modules/models/text_embedding/examples/cohere.ipynb)",有关此操作的更详细演练，请参阅[本笔记本](../modules/models/text_embedding/examples/cohere.ipynb）
Comet,彗星
![](https://user-images.githubusercontent.com/7529846/230328046-a8b18c51-12e3-4617-9b39-97614a571a2d.png),！[](https://user-images.githubusercontent.com/7529846/230328046-a 8 b 18 c 51-12 e 3-4617-9 b 39-97614 a 571 a 2 d.png）
"In this guide we will demonstrate how to track your Langchain Experiments, Evaluation Metrics, and LLM Sessions with [Comet](https://www.comet.com/site/?utm_source=langchain&utm_medium=referral&utm_campaign=comet_notebook).",在本指南中，我们将演示如何使用[Comet]（https://www.comet.com/site/？utm_source=Langchain&utm_medium=referral&utm_campaign=comet_notebook）跟踪您的Langchain实验、评估指标和LLM会话。
**Example Project:** [Comet with LangChain](https://www.comet.com/examples/comet-example-langchain/view/b5ZThK6OFdhKWVSP3fDfRtrNF/panels?utm_source=langchain&utm_medium=referral&utm_campaign=comet_notebook),**示例项目：**[Comet with LangChain]（https://www.comet.com/examples/comet-example-langchain/view/b 5 zthk 6 ofdhkwvsp 3 fdfrtrnf/panels？utm_source=LangChain&utm_medium=referral&utm_campaign=comet_notebook）
Install Comet and Dependencies,安装Comet和依赖项
Initialize Comet and Set your Credentials,初始化Comet并设置凭证
You can grab your [Comet API Key here](https://www.comet.com/signup?utm_source=langchain&utm_medium=referral&utm_campaign=comet_notebook) or click the link after initializing Comet,您可以在此处获取[Comet API密钥]（https://www.comet.com/signup？utm_source=langchain&utm_medium=referral&utm_campaign=comet_notebook）或在初始化Comet后单击链接
Set OpenAI and SerpAPI credentials,设置OpenAI和SerpAPI凭据
You will need an [OpenAI API Key](https://platform.openai.com/account/api-keys) and a [SerpAPI API Key](https://serpapi.com/dashboard) to run the following examples,您将需要一个[OpenAI API密钥](https://platform.openai.com/account/api-keys）和一个[SerpAPI API密钥](https://serpapi.com/dashboard）来运行以下示例
Scenario 1: Using just an LLM,场景1：只使用LLM
Scenario 2: Using an LLM in a Chain,场景2：在链中使用LLM
Scenario 3: Using An Agent with Tools,场景3：使用带有工具的代理
Scenario 4: Using Custom Evaluation Metrics,场景4：使用自定义评估指标
The `CometCallbackManager` also allows you to define and use Custom Evaluation Metrics to assess generated outputs from your model. Let's take a look at how this works.,“CometCallbackManager”还允许您定义和使用定制的评估指标来评估模型生成的输出。让我们来看看这是如何工作的。
"In the snippet below, we will use the [ROUGE](https://huggingface.co/spaces/evaluate-metric/rouge) metric to evaluate the quality of a generated summary of an input prompt.",在下面的代码片段中，我们将使用【ROUGE】（https：//huggingface.co/spaces/evaluate-metric/ROUGE）度量来评估生成的输入提示摘要的质量。
Databerry,数据库
This page covers how to use the [Databerry](https://databerry.ai) within LangChain.,本页介绍了如何在LangChain中使用【Databerry】（https：//databerry.ai）。
What is Databerry?,什么是数据浆果？
Databerry is an [open source](https://github.com/gmpetrov/databerry) document retrievial platform that helps to connect your personal data with Large Language Models.,Databerry是一个【开源】（https：//github.com/gmpetrov/Databerry）文档检索平台，有助于将您的个人数据与大型语言模型连接起来。
![Databerry](../_static/DataberryDashboard.png),！[Databerry](../_static/DataberryDashboard.png）
Quick start,快速启动
Retrieving documents stored in Databerry from LangChain is very easy!,从LangChain检索存储在Databerry中的文档非常容易！
DeepInfra,深红外线
"This page covers how to use the DeepInfra ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific DeepInfra wrappers.",本页介绍了如何在LangChain中使用DeepInfra生态系统。它分为两部分：安装和设置，然后是对特定DeepInfra包装器的引用。
Get your DeepInfra api key from this link [here](https://deepinfra.com/).,从此链接【此处】（https：//deepinfra.com/）获取您的DeepInfra api密钥。
Get an DeepInfra api key and set it as an environment variable (`DEEPINFRA_API_TOKEN`),获取DeepInfra api密钥并将其设置为环境变量（`DEEPINFRA_API_TOKEN`）
"There exists an DeepInfra LLM wrapper, which you can access with",存在一个DeepInfra LLM包装器，您可以使用
Deep Lake,深湖
This page covers how to use the Deep Lake ecosystem within LangChain.,本页介绍了如何利用LangChain内的深湖生态系统。
Why Deep Lake?,为什么是深湖？
More than just a (multi-modal) vector store. You can later use the dataset to fine-tune your own LLM models.,不仅仅是一个（多模态）矢量存储。您以后可以使用数据集来微调您自己的LLM模型。
"Not only stores embeddings, but also the original data with automatic version control.",不仅存储嵌入，还存储具有自动版本控制的原始数据。
"Truly serverless. Doesn't require another service and can be used with major cloud providers (AWS S3, GCS, etc.)",真正的无服务器。不需要其他服务，并且可以与主要的云提供商（AWS S3、GCS等）一起使用
More Resources,更多资源
[Ultimate Guide to LangChain & Deep Lake: Build ChatGPT to Answer Questions on Your Financial Data](https://www.activeloop.ai/resources/ultimate-guide-to-lang-chain-deep-lake-build-chat-gpt-to-answer-questions-on-your-financial-data/),[LangChain&Deep Lake终极指南：构建ChatGPT以回答有关您财务数据的问题](https://www.activeloop.ai/resources/ultimate-guide-to-lang-chain-deep-lake-build-chat-gpt-to-answer-questions-on-your-financial-data/）
[Twitter the-algorithm codebase analysis with Deep Lake](../use_cases/code/twitter-the-algorithm-analysis-deeplake.ipynb),[Twitter the-algorithm代码库分析与Deep Lake](../use_cases/code/twitter-the-algorithm-analysis-deeplake.ipynb）
Here is [whitepaper](https://www.deeplake.ai/whitepaper) and [academic paper](https://arxiv.org/pdf/2209.10785.pdf) for Deep Lake,这是[白皮书]（https://www.deeplake.ai/whitepaper）和[学术论文]（https://arxiv.org/pdf/2209.10785.pdf）
"Here is a set of additional resources available for review: [Deep Lake](https://github.com/activeloopai/deeplake), [Getting Started](https://docs.activeloop.ai/getting-started) and [Tutorials](https://docs.activeloop.ai/hub-tutorials)",这里有一组可供查看的其他资源：[Deep Lake](https://github.com/activeloopai/deeplake)、[Getting Started](https://docs.activeloop.ai/getting-started）和[Tutorials](https://docs.activeloop.ai/hub-tutorials）
Install the Python package with `pip install deeplake`,使用“pip install deeplake”安装Python包
"There exists a wrapper around Deep Lake, a data lake for Deep Learning applications, allowing you to use it as a vector store (for now), whether for semantic search or example selection.",Deep Lake周围有一个包装器，这是一个用于深度学习应用程序的数据湖，允许您将其用作向量存储（目前），无论是用于语义搜索还是示例选择。
"For a more detailed walkthrough of the Deep Lake wrapper, see [this notebook](../modules/indexes/vectorstores/examples/deeplake.ipynb)",有关Deep Lake包装器的更详细演练，请参见[本笔记本]（../modules/indexes/vectorstores/examples/deeplake.ipynb）
ForefrontAI,前沿a
"This page covers how to use the ForefrontAI ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific ForefrontAI wrappers.",本页介绍了如何在LangChain中使用ForefrontAI生态系统。它分为两部分：安装和设置，然后是对特定ForefrontAI包装器的引用。
Get an ForefrontAI api key and set it as an environment variable (`FOREFRONTAI_API_KEY`),获取ForefrontAIAPI密钥并将其设置为环境变量（`FOREFRONTAI_API_KEY`）
"There exists an ForefrontAI LLM wrapper, which you can access with",存在一个ForefrontAI LLM包装器，您可以使用
Google Search Wrapper,谷歌搜索包装器
"This page covers how to use the Google Search API within LangChain. It is broken into two parts: installation and setup, and then references to the specific Google Search wrapper.",本页介绍了如何在LangChain中使用Google搜索API。它分为两部分：安装和设置，然后引用特定的Google搜索包装器。
Install requirements with `pip install google-api-python-client`,使用“pip安装google api python客户端”安装要求
"Set up a Custom Search Engine, following [these instructions](https://stackoverflow.com/questions/37083058/programmatically-searching-google-in-python-using-custom-search)",按照[这些说明]设置自定义搜索引擎（https://stackoverflow.com/questions/37083058/programmatically-searching-google-in-python-using-custom-search）
"Get an API Key and Custom Search Engine ID from the previous step, and set them as environment variables `GOOGLE_API_KEY` and `GOOGLE_CSE_ID` respectively",从上一步中获取API密钥和自定义搜索引擎ID，并将它们分别设置为环境变量“GOOGLE_API_KEY”和“GOOGLE_CSE_ID”
